     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
     1      459        1994.098        3236.017         586.190         357.405        1486.377         381.635           S1
     2      612         296.504         190.128          89.204        1914.523        3122.141         747.327           S2
     3      656         973.671        4614.451        2329.542        8059.683       16494.231        5154.954           S2
     4      907          31.977        2051.712        5226.023       37840.982       58771.055       31314.666           S2
     5      977       31113.389       46654.641       17588.218        2246.383       13538.883        9379.908           S1
     6      980       13561.841       10818.647        1930.647          62.606         481.246         561.600           S1
     7     1008       19541.523       29245.607       11989.949          76.015         451.556         561.219           S1
     8     1011        4482.081        2936.808         504.281          64.296         261.928         107.464           S1
     9     1163       26738.467       47571.719       20731.371        6773.266       22891.519       13935.749           S1
    10     1205       15003.199       18273.799        5262.798        7926.702        6370.975        2074.010           S1
    11     1217       16927.290       14476.059        3801.347         551.261         707.453         289.270           S1
    12     1227       13460.838       19348.528        8163.864         314.335        1884.923        2024.320           S1
    13     1230        1956.195        4349.231        1822.133          77.526         394.923         220.804           S1
    14     1292         367.479        1839.005         622.551        8101.850        7869.661        1422.437           S2
    15     1428        2465.782       12021.559       13563.285          26.677        5004.884       14251.218           S1
    16     1439         104.633         201.296         107.894       19120.413       10481.310        1387.811           S2
    17     1519         145.535        1876.831        2278.839       45691.441       42615.842       12696.928           S2
    18     1668          59.773         367.493         152.329       10793.475        6690.938        1028.944           S2
    19     1710       40927.908       39021.264       18244.881         357.713        2188.901        4176.329           S1
    20     1780       17454.507       23589.312        6575.717        2565.098        8709.319        4542.335           S1
    21     1871         335.261         673.248         187.266         923.626        1454.916         386.212           S2
    22     1958         106.464         495.436         342.457       12190.210       13199.861        2725.070           S2
    23     2008        2862.552        5994.723        3083.043        2585.697        5569.263        3350.839           S1
    24     2010        1569.052        2432.979         787.333          65.485         215.085         152.951           S1
    25     2012       12472.712       22377.130        4920.262       55971.035       54701.236        9892.934           S2
    26     2191        1127.600        2646.752        3124.503        2269.948        6033.143        7275.869           S2
    27     2391         970.917        1060.711          94.190         981.475        1427.155         199.047           S2
    28     2462        2446.744        2660.815         521.425         170.848         696.845         288.056           S1
    29     2464         342.314         236.855         150.940        5006.302        3822.787        1495.751           S2
    30     2465        2422.258        4570.298        2074.477          86.108         701.739         945.926           S1
