         №                       ID                 DETECTOR           SnontrG1_StrG1           SnontrG2_StrG2           SnontrG3_StrG3       SnontrG2G3_StrG2G3       SnontrG1G2_StrG1G2   SnontrG1G2G3_StrG1G2G3              StrG2_StrG1              StrG3_StrG2                         
         1                      459                       S1                    0.200                    0.487                    0.648                    0.506                    0.368                    0.388                    1.419                    0.132
         2                      612                       S2                    0.127                    0.059                    0.170                    0.073                    0.088                    0.094                    1.353                    0.152
         3                      656                       S2                    0.140                    0.309                    0.472                    0.336                    0.246                    0.272                    1.700                    0.200
         4                      907                       S2                    0.002                    0.059                    0.176                    0.091                    0.035                    0.060                    1.367                    0.369
         5                      977                       S1                    0.108                    0.368                    0.535                    0.397                    0.250                    0.280                    1.206                    0.211
         6                      980                       S1                    0.008                    0.076                    0.456                    0.108                    0.034                    0.049                    0.625                    0.092
         7                     1008                       S1                    0.006                    0.022                    0.060                    0.029                    0.014                    0.019                    1.205                    0.228
         8                     1011                       S1                    0.025                    0.125                    0.216                    0.132                    0.059                    0.064                    0.527                    0.093
         9                     1163                       S1                    0.307                    0.546                    0.688                    0.573                    0.447                    0.475                    1.397                    0.232
        10                     1205                       S1                    0.458                    0.336                    0.477                    0.354                    0.398                    0.404                    0.953                    0.151
        11                     1217                       S1                    0.036                    0.055                    0.087                    0.059                    0.044                    0.046                    0.707                    0.153
        12                     1227                       S1                    0.035                    0.133                    0.288                    0.163                    0.088                    0.111                    1.174                    0.242
        13                     1230                       S1                    0.052                    0.104                    0.117                    0.106                    0.084                    0.088                    1.641                    0.199
        14                     1292                       S2                    0.067                    0.288                    0.423                    0.301                    0.164                    0.176                    0.787                    0.104
        15                     1428                       S1                    0.046                    0.779                    0.855                    0.804                    0.616                    0.683                    3.510                    0.495
        16                     1439                       S2                    0.007                    0.027                    0.118                    0.033                    0.013                    0.016                    0.440                    0.071
        17                     1519                       S2                    0.006                    0.069                    0.204                    0.091                    0.034                    0.047                    0.798                    0.191
        18                     1668                       S2                    0.011                    0.083                    0.143                    0.087                    0.035                    0.038                    0.489                    0.079
        19                     1710                       S1                    0.021                    0.114                    0.337                    0.159                    0.061                    0.089                    0.784                    0.255
        20                     1780                       S1                    0.218                    0.493                    0.815                    0.520                    0.346                    0.365                    0.871                    0.091
        21                     1871                       S2                    0.398                    0.481                    0.462                    0.479                    0.441                    0.442                    1.074                    0.103
        22                     1958                       S2                    0.014                    0.056                    0.180                    0.066                    0.032                    0.038                    0.769                    0.085
        23                     2008                       S1                    0.904                    0.968                    1.225                    1.011                    0.942                    0.972                    1.449                    0.201
        24                     2010                       S1                    0.055                    0.118                    0.276                    0.135                    0.087                    0.098                    1.029                    0.115
        25                     2012                       S2                    0.271                    0.452                    0.469                    0.453                    0.347                    0.351                    0.727                    0.084
        26                     2191                       S2                    0.474                    0.429                    0.445                    0.436                    0.442                    0.443                    2.286                    0.760
        27                     2391                       S2                    0.919                    0.670                    0.376                    0.658                    0.801                    0.793                    0.898                    0.043
        28                     2462                       S1                    0.127                    0.382                    0.613                    0.394                    0.228                    0.237                    0.662                    0.055
        29                     2464                       S2                    0.075                    0.053                    0.169                    0.079                    0.066                    0.077                    0.690                    0.282
        30                     2465                       S1                    0.067                    0.255                    0.645                    0.309                    0.171                    0.210                    1.256                    0.161
        31                     2474                       S1                    0.045                    0.106                    0.367                    0.142                    0.078                    0.100                    1.143                    0.159
        32                     2508                       S1                    0.266                    0.610                    1.495                    0.653                    0.424                    0.449                    0.854                    0.050
        33                     2520                       S1                    0.010                    0.058                    0.068                    0.059                    0.027                    0.028                    0.541                    0.083
        34                     2531                       S1                    0.015                    0.106                    0.267                    0.124                    0.056                    0.068                    0.853                    0.128
        35                     2533                       S2                    0.079                    0.248                    0.402                    0.262                    0.156                    0.167                    0.843                    0.100
        36                     2542                       S1                    0.100                    0.279                    1.090                    0.334                    0.190                    0.222                    1.020                    0.073
        37                     2560                       S2                    0.004                    0.030                    0.060                    0.031                    0.013                    0.013                    0.494                    0.033
        38                     2566                       S1                    0.061                    0.277                    0.462                    0.308                    0.174                    0.201                    1.087                    0.204
        39                     2580                       S2                    0.013                    0.037                    0.160                    0.057                    0.023                    0.034                    0.784                    0.193
        40                     2587                       S1                    0.195                    0.299                    0.494                    0.354                    0.255                    0.298                    1.343                    0.390
        41                     2599                       S2                    0.078                    0.258                    0.368                    0.277                    0.168                    0.187                    1.009                    0.209
        42                     2600                       S1                    0.032                    0.065                    1.056                    0.101                    0.045                    0.059                    0.610                    0.037
        43                     2620                       S2                    0.506                    0.514                    0.421                    0.500                    0.511                    0.502                    1.577                    0.181
        44                     2626                       S2                    0.008                    0.083                    0.327                    0.135                    0.053                    0.091                    1.490                    0.270
        45                     2630                       S2                    0.168                    0.376                    0.460                    0.392                    0.285                    0.305                    1.280                    0.232
        46                     2639                       S2                    0.064                    0.138                    0.479                    0.165                    0.092                    0.104                    0.597                    0.086
        47                     2663                       S2                    0.010                    0.054                    0.154                    0.074                    0.035                    0.050                    1.324                    0.245
        48                     2668                       S1                    0.035                    0.173                    0.234                    0.177                    0.076                    0.079                    0.413                    0.059
        49                     2673                       S2                    0.047                    0.017                    0.162                    0.034                    0.035                    0.042                    0.646                    0.137
        50                     2721                       S2                    0.028                    0.081                    0.349                    0.114                    0.049                    0.065                    0.670                    0.140
        51                     2725                       S1                    0.086                    0.383                    0.598                    0.404                    0.195                    0.210                    0.573                    0.107
        52                     2737                       S1                    0.031                    0.236                    0.372                    0.253                    0.111                    0.125                    0.644                    0.141
        53                     2763                       S1                    0.011                    0.110                    0.387                    0.134                    0.061                    0.076                    1.021                    0.092
        54                     2764                       S2                    0.033                    0.126                    0.191                    0.134                    0.074                    0.081                    0.787                    0.142
        55                     2771                       S2                    0.349                    0.353                    0.385                    0.358                    0.351                    0.354                    1.236                    0.147
        56                     2772                       S2                    0.052                    0.041                    0.302                    0.060                    0.048                    0.055                    0.619                    0.079
        57                     2775                       S2                    0.063                    0.156                    0.269                    0.176                    0.103                    0.117                    0.755                    0.221
        58                     2795                       S1                    0.013                    0.099                    0.315                    0.135                    0.061                    0.087                    1.278                    0.201
        59                     2800                       S1                    0.206                    0.275                    0.695                    0.348                    0.236                    0.274                    0.773                    0.209
        60                     2815                       S1                    0.093                    0.408                    0.629                    0.449                    0.247                    0.285                    0.956                    0.228
        61                     2816                       S2                    0.038                    0.108                    0.086                    0.107                    0.072                    0.072                    0.923                    0.076
        62                     2828                       S2                    0.025                    0.063                    0.408                    0.106                    0.043                    0.066                    0.897                    0.143
        63                     2842                       S2                    0.427                    0.595                    0.664                    0.609                    0.530                    0.547                    1.556                    0.242
        64                     2851                       S2                    0.007                    0.040                    0.129                    0.055                    0.022                    0.031                    0.839                    0.201
        65                     2868                       S1                    0.059                    0.143                    0.340                    0.182                    0.104                    0.131                    1.163                    0.246
        66                     2875                       S1                    0.009                    0.050                    0.361                    0.067                    0.025                    0.032                    0.630                    0.057
        67                     2883                       S1                    0.013                    0.111                    0.315                    0.123                    0.055                    0.062                    0.769                    0.064
        68                     2886                       S2                    0.032                    0.047                    0.356                    0.074                    0.040                    0.054                    0.967                    0.097
        69                     2912                       S2                    0.006                    0.058                    0.806                    0.073                    0.022                    0.027                    0.459                    0.020
        70                     2932                       S2                    0.056                    0.180                    0.132                    0.172                    0.117                    0.119                    0.980                    0.201
        71                     2935                       S2                    0.470                    0.790                    0.477                    0.731                    0.621                    0.606                    0.889                    0.233
        72                     2937                       S2                    0.088                    0.231                    0.273                    0.241                    0.175                    0.192                    1.561                    0.330
        73                     2938                       S1                    0.400                    0.623                    1.070                    0.671                    0.523                    0.557                    1.230                    0.120
        74                     2939                       S2                    0.050                    0.093                    0.395                    0.129                    0.062                    0.075                    0.395                    0.136
        75                     2945                       S2                    0.211                    0.302                    0.386                    0.317                    0.272                    0.286                    1.972                    0.209
        76                     2950                       S1                    2.706                    1.724                    1.026                    1.628                    2.054                    1.955                    1.980                    0.160
        77                     2982                       S2                    1.093                    0.874                    0.900                    0.876                    0.983                    0.979                    1.015                    0.100
        78                     2990                       S2                    0.026                    0.113                    0.224                    0.140                    0.077                    0.100                    1.410                    0.323
        79                     2991                       S2                    0.021                    0.030                    0.278                    0.084                    0.026                    0.056                    0.993                    0.278
        80                     2995                       S2                    0.089                    0.215                    0.431                    0.246                    0.154                    0.176                    1.051                    0.169
        81                     3002                       S1                    0.011                    0.044                    0.178                    0.059                    0.022                    0.029                    0.525                    0.128
        82                     3003                       S2                    1.791                    0.809                    0.445                    0.759                    1.162                    1.095                    1.779                    0.160
        83                     3004                       S2                    1.257                    0.791                    0.337                    0.733                    1.031                    0.986                    0.937                    0.145
        84                     3010                       S2                    0.016                    0.059                    0.149                    0.076                    0.039                    0.052                    1.232                    0.228
        85                     3015                       S2                    0.206                    0.276                    0.332                    0.283                    0.249                    0.256                    1.601                    0.141
        86                     3024                       S1                    0.171                    0.626                    0.652                    0.630                    0.394                    0.412                    0.964                    0.146
