ID         DATA           real       68up       68doun    
3956       2014-02-19     77.969     75.183     80.405
1450       2000-10-20     82.303     80.099     84.297
2457       2004-12-11     68.135     65.417     70.435
4707       2018-09-14     51.753     33.984     58.404
345        1996-08-09      0.000      0.000     40.979
1458       2000-11-05     38.506      0.000     52.948
3785       2013-04-27     62.840     58.623     66.040
2846       2007-02-07     23.797      0.000     37.068
4460       2017-03-04     21.723      0.000     35.287
4480       2017-04-09     79.289     76.700     81.578
4364       2016-06-25     64.268     60.557     67.189
1743       2002-01-27     65.019     58.816     69.638
3794       2013-05-05    102.267    101.284    103.222
2660       2005-12-20     48.272     19.372     56.589
94         1995-04-25     40.398     27.528     51.666
3805       2013-05-27     91.827     91.073     92.561
966        1999-04-19     85.676     84.701     86.611
1080       1999-09-15      0.000      0.000      0.000
4732       2018-12-22     62.791     55.684     67.941
1968       2002-12-06     75.124     73.428     76.672
1913       2002-10-08      0.000      0.000     43.636
1749       2002-02-14     15.205      0.000     47.268
3810       2013-06-06     74.416     70.986     77.309
4390       2016-08-21     50.230     27.554     57.573
4190       2015-05-10     78.396     75.676     80.783
308        1996-05-29     45.458      5.799     55.337
3372       2010-11-23     66.769     61.217     71.005
3690       2012-09-11     30.351     15.336     42.964
1383       2000-07-13      0.000      0.000     22.438
4676       2018-07-20     87.919     87.035     88.771
4438       2017-01-15     17.904      0.000     32.216
480        1997-04-11     70.127     67.776     72.172
4288       2015-12-29     40.669     27.827     51.883
4129       2015-02-10     66.949     61.460     71.146
3873       2013-10-28     21.488      0.000     48.787
897        1999-01-04     42.569     29.916     53.374
4743       2019-01-14     24.340      0.000     37.545
1710       2001-11-21     13.803      0.000     29.330
4750       2019-01-29     54.517     44.069     61.972
3502       2011-08-20      7.680      0.000     26.114
1433       2000-09-18     77.974     76.537     79.309
3093       2008-12-15     36.697      0.000     52.447
3863       2013-10-14     28.405     12.299     41.194
2789       2006-09-28     15.273      0.000     30.307
2168       2003-11-11     69.160     64.397     72.918
808        1998-09-23      3.460      0.000     24.873
4361       2016-06-23     16.514      0.000     47.579
2679       2006-02-13     48.766     36.893     57.940
3943       2014-02-06     77.565     76.095     78.929
1263       2000-03-15     59.465     53.561     63.453
4167       2015-03-30      0.000      0.000     27.646
983        1999-05-16     13.136      0.000     46.793
2242       2004-03-29      0.000      0.000     21.316
1163       1999-12-16     64.308     57.825     69.092
2823       2006-12-12     61.648     54.053     67.087
2563       2005-05-31      0.000      0.000     24.185
469        1997-03-15     14.699      0.000     29.917
2233       2004-03-02     40.046     27.139     51.383
2263       2004-04-25     54.938     44.632     62.268
2094       2003-07-21     56.431     46.663     63.319
954        1999-04-01     50.344     38.774     59.054
1401       2000-07-30     22.274      0.000     48.977
2017       2003-04-06     25.247      5.091     38.347
79         1995-04-03      0.000      0.000     44.840
4696       2018-08-09     83.986     82.931     84.991
4169       2015-04-03     21.770      0.000     35.327
234        1996-02-28     27.603     10.870     40.466
778        1998-08-27     80.115     78.836     81.317
1118       1999-10-24     17.345      0.000     31.795
3171       2009-04-27     83.055     81.953     84.103
3475       2011-07-08     24.995      4.064     38.124
3545       2011-10-22     65.005     61.520     67.794
2698       2006-03-15     36.555      0.000     52.409
