   ID      Date       Time  Det  Cal1_1  Cal2_1  Flag  Cal1_2  Cal2_2  D_Cal1  D_Cal2  Cal1good  Cal2good 
   11  19941120  73397.924   S1  1.1954  1.1769     1  1.1952  1.1797    0.00    0.00     1.195     1.177 
   12  19941121  62700.945   S1  1.1883  1.1733     1  1.1981  1.1761    0.01    0.00     1.188     1.173 
   14  19941126  44557.952   S1  1.2023  1.1753     1   1.185   1.173    0.01    0.00     1.202     1.175 
   15  19941126  71809.732   S1  1.1909  1.1704     1  1.1818  1.1738    0.01    0.00     1.191     1.170 
   25  19941221  80075.215   S1  1.0125   1.001     1  1.0073  1.0053    0.01    0.00     1.012     1.001 
   35  19941228  27585.915   S1  1.0003  0.9983     1  1.0029  0.9919    0.00    0.01     1.000     0.998 
   40  19950111  17352.241   S1  1.0092  0.9982     1  0.9966  0.9946    0.01    0.00     1.009     0.998 
   41  19950111  44329.196   S1  1.0083  0.9973     1  0.9995   0.987    0.01    0.01     1.008     0.997 
   44  19950114  47434.865   S1  1.0102  0.9957     1  1.0109  0.9954    0.00    0.00     1.010     0.996 
   46  19950125  53512.253   S1  1.0091  0.9966     1  1.0153  0.9958    0.01    0.00     1.009     0.997 
   47  19950201  79260.232   S1  1.0138  1.0013     1  1.0104  1.0069    0.00    0.01     1.014     1.001 
   51  19950207  49973.785   S1  1.0162  1.0047     1   1.016   0.998    0.00    0.01     1.016     1.005 
   54  19950210   8424.148   S1  1.0154  1.0014     1  1.0163  1.0043    0.00    0.00     1.015     1.001 
   57  19950211  72469.074   S1   1.018   1.008     1  0.9981  0.9961    0.02    0.01     1.018     1.008 
   61  19950226  53351.255   S1  1.0237  1.0092     1  1.0232  1.0087    0.00    0.00     1.024     1.009 
   63  19950304  37661.062   S1  1.0267  1.0117     1  1.0252  1.0117    0.00    0.00     1.027     1.012 
   65  19950305  54309.427   S1  1.0226  1.0081     1  1.0298  1.0128    0.01    0.00     1.023     1.008 
   71  19950325  63392.815   S1  1.0344  1.0204     1  1.0318  1.0158    0.00    0.00     1.034     1.020 
   78  19950403  47985.179   S1  1.0344  1.0299     1  1.0283  1.0263    0.01    0.00     1.034     1.030 
   81  19950407  54922.052   S1  1.0447  1.0332     1  1.0335  1.0255    0.01    0.01     1.045     1.033 
   82  19950408  34375.553   S1  1.0399  1.0254     1  1.0329  1.0309    0.01    0.01     1.040     1.025 
   83  19950409  23559.763   S1  1.0459  1.0354     1  1.0305  1.0285    0.01    0.01     1.046     1.035 
   85  19950411  28261.753   S1  1.0417  1.0302     1  1.0451  1.0301    0.00    0.00     1.042     1.030 
   86  19950414  40882.798   S1  1.0529  1.0384     1  1.0339  1.0319    0.02    0.01     1.053     1.038 
   87  19950416  13306.766   S1  1.0407  1.0372     1  1.0284  1.0264    0.01    0.01     1.041     1.037 
   88  19950418  83793.572   S1  1.0513  1.0368     1  1.0631  1.0411    0.01    0.00     1.051     1.037 
   89  19950419    8628.86   S1      --      --     1  1.0565   1.049      --      --     1.056     1.049 
   94  19950425    923.718   S1  1.0472  1.0377     1  1.0525   1.054    0.01    0.02     1.047     1.038 
   96  19950503  66971.838   S1  1.0493  1.0473     1  1.0586  1.0451    0.01    0.00     1.049     1.047 
   97  19950505  53939.053   S1  1.0619  1.0509     1   1.071   1.049    0.01    0.00     1.062     1.051 
   98  19950510  28083.509   S1  1.0631  1.0486     1  1.0406  1.0391    0.02    0.01     1.063     1.049 
   99  19950512   1003.891   S1  1.0643  1.0518     1  1.0555  1.0535    0.01    0.00     1.064     1.052 
  101  19950513  81706.917   S1  1.0491  1.0471     1  1.0656  1.0491    0.02    0.00     1.049     1.047 
  102  19950515   3288.326   S1  1.0658  1.0553     1  1.0599  1.0499    0.01    0.01     1.066     1.055 
  103  19950515   23077.82   S1   1.066   1.054     1  1.0546  1.0466    0.01    0.01     1.066     1.054 
  104  19950520  83271.404   S1  1.0733  1.0593     1  1.0709  1.0554    0.00    0.00     1.073     1.059 
  105  19950521  25161.588   S1  1.0745    1.06     1  1.0738  1.0613    0.00    0.00     1.075     1.060 
  106  19950522  23898.964   S1  1.0565  1.0545     1  1.0648  1.0628    0.01    0.01     1.056     1.054 
  108  19950522  85280.044   S1  1.0724  1.0574     1  1.0648  1.0628    0.01    0.01     1.072     1.057 
  109  19950523  31302.284   S1  1.0743  1.0618     1  1.0832  1.0672    0.01    0.01     1.074     1.062 
  112  19950602  25592.777   S1  1.0793  1.0688     1  1.0788  1.0698    0.00    0.00     1.079     1.069 
  113  19950603   21257.81   S1  1.0738  1.0628     1  1.0828  1.0663    0.01    0.00     1.074     1.063 
  114  19950608  81397.603   S1  1.0807  1.0687     1  1.0801  1.0676    0.00    0.00     1.081     1.069 
  115  19950610   6849.095   S1  1.0819  1.0649     1  1.0652  1.0632    0.02    0.00     1.082     1.065 
  122  19950625  19176.832   S1   1.089   1.076     1  1.0869  1.0849    0.00    0.01     1.089     1.076 
  123  19950629  37033.034   S1  1.0906  1.0816     1  1.0868  1.0763    0.00    0.00     1.091     1.082 
  124  19950701  12762.114   S1  1.0948  1.0843     1   1.109  1.0925    0.01    0.01     1.095     1.084 
  127  19950703  20018.718   S1  1.0969  1.0854     1  1.0929  1.0909    0.00    0.01     1.097     1.085 
  128  19950704  11431.823   S1  1.0938  1.0838     1   1.104   1.086    0.01    0.00     1.094     1.084 
  131  19950711  13789.302   S1  1.1007  1.0892     1  1.0832  1.0812    0.02    0.01     1.101     1.089 
  134  19950722  75147.472   S1  1.1063  1.0968     1  1.1068  1.0923    0.00    0.00     1.106     1.097 
  135  19950726  51579.299   S1  1.1046  1.0966     1  1.0937  1.0897    0.01    0.01     1.105     1.097 
  136  19950730  76149.149   S1  1.1126  1.1036     1  1.1035  1.0965    0.01    0.01     1.113     1.104 
  143  19950805  13454.144   S1  1.1191  1.1081     1  1.1093  1.1008    0.01    0.01     1.119     1.108 
  144  19950809  85945.672   S1  1.1166  1.1076     1  1.1113  1.1078    0.00    0.00     1.117     1.108 
  148  19950822   13750.53   S1      --      --     1  1.1228  1.1078      --      --     1.123     1.108 
  161  19951001  41907.288   S1  1.1585   1.143     1   1.177  1.1575    0.02    0.01     1.159     1.143 
