   ID      Date       Time  Det  Cal1_1  Cal2_1  Flag  Cal1_2  Cal2_2  D_Cal1  D_Cal2  Cal1good  Cal2good 
    8  19941117  11678.191   S2  1.1453  1.1678     1  1.1458  1.1678    0.00    0.00     1.145     1.168 
   10  19941119  70269.175   S2  1.1589  1.1799     1  1.1581  1.1751    0.00    0.00     1.159     1.180 
   13  19941125  79470.156   S2  1.1679  1.1909     1  1.1748  1.1913    0.01    0.00     1.168     1.191 
   16  19941127   52225.68   S2  1.1698  1.1898     1  1.1613  1.1843    0.01    0.00     1.170     1.190 
   17  19941205  84820.074   S2  1.1876  1.1916     1  1.1735  1.2015    0.01    0.01     1.188     1.192 
   20  19941210  11452.523   S2  1.1875   1.189     1  1.1813  1.1808    0.01    0.01     1.188     1.189 
   26  19941222  20160.243   S2  0.9835  0.9995     1  1.0002  1.0067    0.02    0.01     0.984     1.000 
   36  19941229  82268.781   S2  0.9769  0.9934     1  0.9623  0.9883    0.01    0.01     0.977     0.993 
   38  19950104  26319.613   S2  0.9661  0.9866     1  0.9726  0.9841    0.01    0.00     0.966     0.987 
   39  19950110  49077.084   S2   0.964   0.981     1  0.9708  0.9893    0.01    0.01     0.964     0.981 
   42  19950112   27937.12   S2  0.9664  0.9824     1  0.9743  0.9903    0.01    0.01     0.966     0.982 
   43  19950114  27030.766   S2  0.9666  0.9836     1  0.9774  0.9919    0.01    0.01     0.967     0.984 
   49  19950204   2318.654   S2  0.9659  0.9844     1  0.9611  0.9736    0.00    0.01     0.966     0.984 
   52  19950208   7824.432   S2  0.9598  0.9783     1  0.9723  0.9773    0.01    0.00     0.960     0.978 
   55  19950211   8697.749   S2  0.9543  0.9723     1  0.9478  0.9753    0.01    0.00     0.954     0.972 
   56  19950211  15945.869   S2   0.959   0.976     1  0.9588  0.9773    0.00    0.00     0.959     0.976 
   62  19950302  85977.178   S2  0.9609  0.9754     1  0.9616  0.9786    0.00    0.00     0.961     0.975 
   66  19950307  14733.254   S2  0.9543  0.9733     1  0.9713  0.9788    0.02    0.01     0.954     0.973 
   69  19950319  66774.499   S2  0.9628  0.9773     1  0.9676  0.9726    0.00    0.00     0.963     0.977 
   70  19950325  25841.574   S2  0.9563  0.9743     1  0.9573  0.9738    0.00    0.00     0.956     0.974 
   76  19950401  42647.034   S2  0.9619  0.9789     1  0.9649  0.9769    0.00    0.00     0.962     0.979 
   77  19950401  74635.868   S2  0.9613  0.9783     1  0.9545  0.9775    0.01    0.00     0.961     0.978 
   79  19950403  84828.194   S2  0.9654  0.9784     1  0.9682  0.9772    0.00    0.00     0.965     0.978 
   90  19950419  84077.472   S2      --      --     2      --      --      --      --     0.969     0.983 
   95  19950425  65579.017   S2  0.9689  0.9834     1  0.9736  0.9901    0.00    0.01     0.969     0.983 
  107  19950522  39404.307   S2  0.9761  0.9916     1  0.9677  0.9882    0.01    0.00     0.976     0.992 
  110  19950524   14902.67   S2  0.9776  0.9916     1  0.9832  0.9972    0.01    0.01     0.978     0.992 
  111  19950526   16613.64   S2  0.9723  0.9928     1  0.9736  0.9926    0.00    0.00     0.972     0.993 
  116  19950610  19096.034   S2  0.9803  0.9978     1  0.9863  0.9988    0.01    0.00     0.980     0.998 
  119  19950624  84124.417   S2  0.9848  1.0038     1  0.9865   1.006    0.00    0.00     0.985     1.004 
  120  19950625   9689.448   S2  0.9879  1.0019     1  0.9923  1.0018    0.00    0.00     0.988     1.002 
  121  19950625  14626.011   S2   0.982  1.0025     1  0.9797  1.0027    0.00    0.00     0.982     1.002 
  125  19950701  23737.604   S2  0.9874  1.0054     1  0.9925  1.0045    0.01    0.00     0.987     1.005 
  129  19950706  42735.063   S2  0.9876  1.0096     1   0.995  1.0155    0.01    0.01     0.988     1.010 
  130  19950710    7362.47   S2  0.9861  1.0096     1  0.9891  1.0086    0.00    0.00     0.986     1.010 
  132  19950713  78011.916   S2  0.9896  1.0131     1   1.003  1.0165    0.01    0.00     0.990     1.013 
  133  19950715  75567.288   S2  0.9926  1.0146     1  1.0011  1.0171    0.01    0.00     0.993     1.015 
  139  19950804   7135.704   S2  1.0031  1.0256     1  0.9926  1.0201    0.01    0.01     1.003     1.026 
  140  19950804  32561.958   S2  1.0107  1.0307     1  1.0063  1.0198    0.00    0.01     1.011     1.031 
  141  19950804  45377.251   S2  1.0157  1.0307     1  1.0094  1.0264    0.01    0.00     1.016     1.031 
  142  19950805    283.498   S2  0.9935   1.022     1  0.9947  1.0177    0.00    0.00     0.994     1.022 
  145  19950818    5065.64   S2  1.0165  1.0395     1      --      --      --      --     1.016     1.040 
  149  19950825  15863.399   S2  1.0224  1.0434     1  1.0181  1.0391    0.00    0.00     1.022     1.043 
  150  19950904  52692.615   S2   1.026  1.0435     1  1.0224  1.0454    0.00    0.00     1.026     1.044 
  152  19950905   42691.78   S2  1.0365   1.047     1  0.9936  1.0296    0.04    0.02     1.036     1.047 
  153  19950909  85473.299   S2  1.0243  1.0433     1   1.046  1.0445    0.02    0.00     1.024     1.043 
  154  19950914  68938.109   S2  1.0182  1.0412     1  1.0264  1.0464    0.01    0.00     1.018     1.041 
  159  19950919   51465.02   S2  1.0346  1.0561     1  1.0375  1.0555    0.00    0.00     1.035     1.056 
  160  19950921  20947.494   S2  1.0472  1.0567     1  1.0287  1.0497    0.02    0.01     1.047     1.057 
  164  19951008  46287.863   S2  1.0361  1.0586     1  1.0366  1.0506    0.00    0.01     1.036     1.059 
  167  19951013  57097.299   S2  1.0326  1.0486     1    1.03   1.042    0.00    0.01     1.033     1.049 
  171  19951018  19832.069   S2  1.0402  1.0607     1  1.0463  1.0543    0.01    0.01     1.040     1.061 
  176  19951102   7085.879   S2  1.0629  1.0719     1  1.0506  1.0651    0.01    0.01     1.063     1.072 
  177  19951102  21209.015   S2  1.0583  1.0663     1  1.0693  1.0688    0.01    0.00     1.058     1.066 
  178  19951104   5868.077   S2  1.0758  1.0698     1  1.0814  1.0794    0.01    0.01     1.076     1.070 
 4683  19951112  66495.244   S2  1.0648  1.0673     1  1.0622  1.0722    0.00    0.00     1.065     1.067 
 4684  19951117  10123.762   S2  1.0555  1.0625     1  1.0773  1.0753    0.02    0.01     1.056     1.062 
 4688  19951122    9841.38   S2  1.0653  1.0703     1  1.0551  1.0616    0.01    0.01     1.065     1.070 
  181  19951203    3988.18   S2  1.0706  1.0756     1  1.0773  1.0753    0.01    0.00     1.071     1.076 
  182  19951208  19617.151   S2  1.0755  1.0785     1  1.0852  1.0832    0.01    0.00     1.075     1.079 
  186  19951213  17849.683   S2  1.0869  1.0804     1  1.0737  1.0797    0.01    0.00     1.087     1.080 
  187  19951214   8657.847   S2  1.0772  1.0792     1  1.0673  1.0758    0.01    0.00     1.077     1.079 
  188  19951219  60679.732   S2  1.0787  1.0812     1  1.0754  1.0789    0.00    0.00     1.079     1.081 
  189  19951220   31883.56   S2  1.0771  1.0791     1  1.0844  1.0724    0.01    0.01     1.077     1.079 
  204  19951231  20231.668   S2  1.0914  1.0829     1   1.076  1.0755    0.01    0.01     1.091     1.083 
  206  19960104  12521.062   S2  1.0805  1.0835     1  1.0754  1.0784    0.00    0.00     1.081     1.083 
  207  19960111   46524.53   S2  1.0925   1.087     1  1.0742  1.0827    0.02    0.00     1.093     1.087 
  221  19960119  34679.317   S2  1.0875  1.0855     1  1.0784  1.0869    0.01    0.00     1.087     1.085 
  222  19960119  45226.016   S2   1.084   1.085     1  1.0859  1.0879    0.00    0.00     1.084     1.085 
  223  19960120  36768.974   S2      --      --     1  1.0875  1.0855      --      --     1.087     1.085 
  224  19960124   3388.008   S2  1.0881  1.0881     1  1.0902  1.0882    0.00    0.00     1.088     1.088 
  226  19960201  78530.582   S2  1.0877  1.0857     1  1.1074  1.0964    0.02    0.01     1.088     1.086 
  230  19960207  65075.063   S2  0.9319  0.9354     1  2.1736  2.1716    1.33    1.32     0.932     0.935 
  232  19960210  35198.959   S2  0.9313  0.9323     1  2.1686  2.1716    1.33    1.33     0.931     0.932 
  235  19960229  22445.141   S2  0.9321  0.9471     1  0.9494  0.9474    0.02    0.00     0.932     0.947 
  237  19960312  35074.697   S2  0.9478  0.9603     1  0.9505   0.956    0.00    0.00     0.948     0.960 
  239  19960321  76321.803   S2  0.9584  0.9694     1   0.955   0.963    0.00    0.01     0.958     0.969 
  242  19960324  80064.124   S2  0.9583  0.9718     1  0.9653  0.9723    0.01    0.00     0.958     0.972 
  257  19960404  25289.264   S2  0.9656  0.9761     1  1.9472  1.9752    1.02    1.02     0.966     0.976 
  258  19960409  77143.618   S2  0.9753  0.9848     1  0.9822  0.9857    0.01    0.00     0.975     0.985 
  259  19960410  80648.201   S2  0.9695   0.983     1  0.9836  0.9881    0.01    0.01     0.970     0.983 
  263  19960418   8271.303   S2  0.9794  0.9899     1  0.9922  0.9977    0.01    0.01     0.979     0.990 
  289  19960420  16844.809   S2  0.9839  0.9939     1  2.1331  2.1576    1.17    1.17     0.984     0.994 
  291  19960422   59981.19   S2  0.9788  0.9908     1  0.9719  0.9934    0.01    0.00     0.979     0.991 
  292  19960425  86395.862   S2  0.9835  0.9945     1  0.9817  0.9892    0.00    0.01     0.984     0.995 
  293  19960428  47556.501   S2  0.9818  0.9943     1  0.9886  0.9966    0.01    0.00     0.982     0.994 
  299  19960507  44869.909   S2  0.9889  1.0004     1  0.9812  0.9982    0.01    0.00     0.989     1.000 
  303  19960510  38723.598   S2  0.9939  1.0049     1  0.9887  1.0017    0.01    0.00     0.994     1.005 
  305  19960519  15966.283   S2      --      --     1  0.9978  1.0033      --      --     0.998     1.003 
  308  19960529  43663.061   S2  0.9997  1.0097     1   0.989    1.01    0.01    0.00     1.000     1.010 
  309  19960529  80722.705   S2  0.9929  1.0104     1  1.0073  1.0083    0.01    0.00     0.993     1.010 
  312  19960531  73498.259   S2  1.0041  1.0126     1  0.9984  1.0144    0.01    0.00     1.004     1.013 
  315  19960607  78106.176   S2  0.9942  1.0107     1  1.0096  1.0186    0.02    0.01     0.994     1.011 
  316  19960610  84502.254   S2  0.9986  1.0121     1  0.9986  1.0121    0.00    0.00     0.999     1.012 
  320  19960622  74906.054   S2      --      --     1  1.0186  1.0206      --      --     1.019     1.021 
  321  19960623   4734.229   S2  1.0051  1.0156     1  1.0162  1.0202    0.01    0.00     1.005     1.016 
  322  19960623  77186.871   S2  1.0036  1.0216     1  1.0177  1.0207    0.01    0.00     1.004     1.022 
  324  19960628  19224.223   S2  1.0026  1.0181     1  1.0191  1.0296    0.02    0.01     1.003     1.018 
  327  19960707  36999.311   S2  1.0239  1.0319     1  1.0364  1.0344    0.01    0.00     1.024     1.032 
  328  19960708  72577.095   S2  1.0203  1.0328     1   1.029  1.0255    0.01    0.01     1.020     1.033 
  331  19960710    662.014   S2  1.0216  1.0351     1  1.0266  1.0326    0.00    0.00     1.022     1.035 
  333  19960711  68451.869   S2  1.0253  1.0353     1  1.0333  1.0343    0.01    0.00     1.025     1.035 
  334  19960722  25522.448   S2    1.03    1.04     1  1.0302  1.0422    0.00    0.00     1.030     1.040 
  336  19960727  43056.737   S2  1.0361  1.0446     1  1.0412  1.0402    0.00    0.00     1.036     1.045 
  339  19960731  20761.638   S2  1.0244  1.0469     1  1.0231  1.0426    0.00    0.00     1.024     1.047 
  341  19960804  84535.906   S2  1.0433  1.0523     1  1.0543  1.0533    0.01    0.00     1.043     1.052 
  342  19960805  78957.888   S2  1.0335   1.049     1  1.0435   1.057    0.01    0.01     1.034     1.049 
  343  19960806  80989.772   S2  1.0418  1.0538     1  1.0513  1.0563    0.01    0.00     1.042     1.054 
  344  19960807  71369.324   S2  1.0416  1.0531     1  1.0524  1.0579    0.01    0.00     1.042     1.053 
  345  19960809  52229.443   S2  1.0405  1.0525     1  1.0259  1.0484    0.01    0.00     1.040     1.052 
  347  19960813  37739.252   S2  1.0509  1.0629     1  1.0527  1.0507    0.00    0.01     1.051     1.063 
  355  19960825   1388.008   S2  1.0712  1.0752     1  1.0536  1.0721    0.02    0.00     1.071     1.075 
  356  19960831    37775.3   S2  1.0651  1.0756     1  1.0709  1.0724    0.01    0.00     1.065     1.076 
  359  19960908  25028.442   S2  1.0684  1.0759     1  1.0675   1.077    0.00    0.00     1.068     1.076 
  372  19960927  13645.217   S2  1.0742  1.0802     1  1.0627  1.0687    0.01    0.01     1.074     1.080 
  373  19961001  75186.385   S2  1.0696  1.0801     1  1.0792  1.0787    0.01    0.00     1.070     1.080 
  380  19961009  33560.099   S2  1.0773  1.0848     1  1.0595   1.085    0.02    0.00     1.077     1.085 
  382  19961015  42782.014   S2  1.0746  1.0806     1  1.0846  1.0856    0.01    0.00     1.075     1.081 
  390  19961026  22311.118   S2   1.071  1.0765     1  1.0728  1.0778    0.00    0.00     1.071     1.077 
  393  19961101  58062.904   S2  1.0735   1.081     1  1.0736  1.0821    0.00    0.00     1.073     1.081 
  394  19961102  41907.802   S2  1.0794  1.0814     1  1.0684  1.0784    0.01    0.00     1.079     1.081 
  395  19961113   80522.58   S2  1.0842  1.0872     1  1.0844  1.0834    0.00    0.00     1.084     1.087 
  417  19961123  59317.593   S2   1.085   1.085     1  1.0668  1.0758    0.02    0.01     1.085     1.085 
  418  19961126  24199.802   S2  1.0767  1.0842     1   1.091  1.0845    0.01    0.00     1.077     1.084 
  419  19961130  18831.469   S2  1.0835  1.0865     1  1.0879  1.0864    0.00    0.00     1.083     1.087 
  420  19961202  66661.097   S2  1.0726  1.0801     1  1.0782  1.0867    0.01    0.01     1.073     1.080 
  429  19961211   6972.463   S2  1.0821  1.0841     1  1.0969  1.0829    0.01    0.00     1.082     1.084 
  430  19961212  14870.487   S2  1.0798  1.0828     1  1.0874  1.0859    0.01    0.00     1.080     1.083 
  431  19961213  45226.028   S2  1.0853  1.0833     1  1.0814  1.0769    0.00    0.01     1.085     1.083 
  432  19961213  49967.972   S2  1.0852  1.0837     1  1.0895  1.0805    0.00    0.00     1.085     1.084 
  433  19961216   6756.664   S2  1.0873  1.0833     1    1.09   1.088    0.00    0.00     1.087     1.083 
  435  19961226  21055.443   S2  1.0807  1.0837     1      --      --      --      --     1.081     1.084 
  440  19970111  35039.658   S2  1.0892  1.0872     1  1.0876  1.0881    0.00    0.00     1.089     1.087 
  444  19970119  26728.905   S2  1.0879  1.0874     1  1.0932  1.0942    0.00    0.01     1.088     1.087 
  450  19970203   5525.913   S2  1.0952  1.0912     1  1.0791  1.0866    0.01    0.00     1.095     1.091 
  451  19970206    803.069   S2  1.0888  1.0923     1  1.0868  1.0918    0.00    0.00     1.089     1.092 
  453  19970214  38783.973   S2  1.0908  1.0958     1    1.07   1.092    0.02    0.00     1.091     1.096 
  455  19970218  50996.145   S2  1.0949  1.0944     1  1.0874  1.0949    0.01    0.00     1.095     1.094 
  456  19970222  86006.565   S2  1.1013  1.0973     1  1.1125  1.1105    0.01    0.01     1.101     1.097 
  457  19970223  30386.591   S2  1.0971  1.0971     1  1.0917  1.0897    0.00    0.01     1.097     1.097 
  458  19970226  31585.868   S2  1.1087  1.1002     1  1.1043  1.1033    0.00    0.00     1.109     1.100 
