ID                      S1G1nom         S1G2nom         S1G3nom         S2G1nom         S2G2nom         S2G3nom         S1BG1nom        S1BG2nom        S1BG3nom        S2BG1nom        S2BG2nom        S2BG3nom        dS1             dS2             dBS1            dBS2           
54                      911.840        2220.951         338.132          19.116          40.148           1.904        1142.553         608.758         228.246        1162.582         633.584         178.812          -0.001          -0.001          -0.008          -0.008
55                      -22.590          -0.171          -0.001        1126.838        3297.094        1358.888        1105.396         589.148         216.229        1127.025         603.211         164.376          -0.776           0.002           0.025           0.026
143                     268.210         635.228         389.440           0.000           7.831          38.743        1170.344         607.527         240.682        1210.320         644.298         197.497          -0.006          -0.445          -0.059          -0.061
238                       0.030         540.675         389.639         -10.074          -7.199          -0.001        1128.507         633.282         235.236        1153.787         628.030         176.181          -0.027          -0.545           0.019           0.020
340                    1824.053        3634.696         724.815           1.124          30.192           0.003        1173.691         629.785         249.022        1190.959         615.440         192.204          -0.006          -0.276          -0.031          -0.034
383                    1824.053        3634.696         724.815           1.124          30.192           0.003        1173.691         629.785         249.022        1190.959         615.440         192.204          -1.000          -0.279          -0.036          -0.043
430                      49.909         214.768         189.654         803.583        1519.333         609.724        1161.952         599.440         236.787        1219.811         616.692         188.147           0.002          -0.008          -0.041          -0.044
459                      35.182          57.110          10.325           5.894          26.152           6.726        1211.957         614.385         246.001        1222.267         617.466         197.473          -0.019          -0.004          -0.070          -0.074
515                    4873.089       14964.647       12891.713         139.389         641.075         842.012        3468.108         954.336         240.557        3423.788         897.826         210.660           0.002           0.019          -0.157          -0.163
581                      25.261          30.527          33.900         733.028        1598.412         854.648        1226.430         595.388         250.026        1278.888         602.653         203.070           0.035          -0.014          -0.097          -0.104
612                      17.297          11.060           4.362         115.418         188.283          45.002        1282.243         600.637         253.860        1274.179         599.373         209.888          -0.089          -0.032          -0.116          -0.121
614                       0.018           0.440           9.344         522.006         664.339         361.972        1244.925         596.181         251.048        1274.368         600.218         208.249           1.694          -0.034          -0.111          -0.118
639                     161.749         614.108         205.670         854.211        2822.093         872.812        1264.956         593.014         248.409        1279.121         595.513         204.782          -0.009          -0.011          -0.115          -0.121
651                    1126.097         848.162         147.163          10.808          57.509          37.462        1257.747         600.986         255.004        1311.465         604.951         211.381          -0.094          -0.004          -0.131          -0.142
656                      36.688         173.977          87.808         303.886         621.963         194.339        1242.645         585.839         247.140        1291.322         596.390         205.034          -0.005          -0.024          -0.117          -0.125
816                       2.698           4.143           5.176         128.130         448.537         315.869        1320.127         588.326         241.188        1400.384         576.842         202.115           0.058          -0.009          -0.173          -0.191
889                     274.649         887.510         317.081          76.468         129.871          34.379        1341.307         579.972         230.645        1399.914         589.419         199.946          -0.021          -0.054          -0.199          -0.210
907                       0.000           6.577          57.029         330.776         513.734         273.724        1612.313         956.744         522.816        1689.808         960.966         500.886          -0.240          -0.039          -0.109          -0.118
921                      46.409         271.439         348.616          27.605          35.002          33.910        1322.651         579.251         233.335        1380.181         589.854         202.542           0.018           0.006          -0.193          -0.204
977                     190.933         286.312         107.929          13.781          83.081          57.557        1800.078         699.731         249.987        1830.987         706.556         220.328          -0.061          -0.005          -0.221          -0.227
