                  NN                  ID                NAME          INSTRUMENT             LOCTYPE                DATE                TIME            DETECTOR           T100START                T100            T90START                 T90              T90ERR            T50START                 T50              T50ERR                S1G1                S1G2                S1G3               S1GE1               S1GE2               S1GE3                S2G1                S2G2                S2G3               S2GE1               S2GE2               S2GE3              FLNCNT           FLNCNTERR            CENTERRA           CENTERDEC              RADIUS           LCIRCULAR            CIRCULAR	S1BG1       S1BG2      S1BG3     S2BG1       S2BG2      S2BG3
                   1                  54                  --               BATSE                SPOT          1995-02-10            8424.148                  S1              -0.034               0.176              -0.020               0.138               0.032               0.002               0.060               0.013             933.850            2221.768             328.777             108.417             126.706              56.103              25.613              40.319               7.067              15.926              14.866               5.189               447.1                24.4              154.55              -27.48               1.150                  --                  --   1134.900    603.800    225.200   1155.900    627.900    175.300
                   2                  55                  --               BATSE                SPOT          1995-02-11            8697.749                  S2              -0.056               0.232              -0.018               0.114               0.048               0.008               0.030               0.006               5.305               7.856              22.828               4.803               6.038               6.492            1073.352            3257.979            1477.055              97.855             129.303              84.388              1096.6                35.8                9.51               52.65               1.080                  --                  --   1128.900    604.600    225.800   1148.200    620.900    175.100
                   3                 143                  --               BATSE                SPOT          1995-08-05           13454.144                  S1              -0.090               0.664              -0.044               0.602               0.021               0.000               0.096               0.095             295.204             655.026             339.859              45.908              42.902              28.983              16.534              22.777              33.586              13.783              15.279              11.743               649.5                34.1               79.86              -39.38               1.750                  --                  --   1108.400    570.800    219.600   1153.900    601.700    171.900
                   4                 238                  --               BATSE                SPOT          1996-03-19           51992.828                  S1              -0.162               0.520              -0.140               0.432               0.094              -0.070               0.170               0.110              30.560             492.769             441.500              24.994              46.787              36.295              13.016               9.509              11.620              10.538               7.746               6.870               484.1                30.8               94.84              -47.72               2.010                  --                  --   1145.300    645.500    243.500   1170.200    642.000    184.900
                   5                 340                  --               BATSE                SPOT          1996-08-03           67525.033                  S1              -0.024               0.066              -0.014               0.044               0.013              -0.002               0.016               0.008            1941.233            3614.442             634.412             216.142             252.989             114.892              16.643              30.657               4.053              12.456              13.847               3.504               278.5                18.3              338.02              -50.13               1.930                  --                  --   1142.100    609.800    236.800   1159.000    593.200    179.200
                   6                 383                  --               BATSE                SPOT          1996-10-17           40605.539                  S1              -0.154               1.144              -0.124               1.034               0.136              -0.014               0.418               0.311              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              24.963              22.979              10.021              18.353              15.236               7.387               362.9                35.8               37.16              -10.68               2.890                  --                  --   1164.500    588.300    225.000   1159.400    580.900    171.500
                   7                 430                  --               BATSE                SPOT          1996-12-12           14870.487                  S2              -0.100               1.954               0.088               0.870               0.211               0.304               0.382               0.069              55.608             225.768             175.054              19.767              16.485              11.621             847.787            1524.259             537.400              32.171              32.858              19.040              4030.8                74.2              182.86               34.48               0.500                  --                  --   1119.100    574.300    222.500   1176.600    587.500    171.700
                   8                 459           GRB970228            BeppoSAX                SPOT          1997-02-28           10681.317                  S1              -0.458              56.648              -0.004              53.506               3.888               0.606              39.328               3.970              38.637              54.835               7.229               4.550               3.323               2.010               7.738              26.696               4.682               3.920               3.104               1.663              3509.1               219.9               75.49               11.77              -0.000                  --                  --   1134.200    570.600    222.100   1148.100    569.000    170.200
                   9                 515                  --               BATSE                SPOT          1997-07-04            4097.025                  S1              -0.028               0.212               0.014               0.088               0.009               0.030               0.024               0.004            5787.275           16194.374           10822.415             202.951             282.791             228.318             174.688             732.180             748.745              45.442              31.739              25.052              5725.6                77.0               74.82                 -16               4.140                  --                  --   2944.800    759.400    229.000   2867.100    750.700    175.100
                  10                 581                  --               BATSE                SPOT          1997-10-15           30459.796                  S2              -0.062               0.152              -0.030               0.094               0.030              -0.010               0.042               0.014              37.351              31.452              36.007              22.736              17.291              13.117             844.505            1648.426             667.700             114.840             119.910              74.228               350.1                21.4              279.99               18.62               1.360                  --                  --   1111.900    537.500    222.100   1160.100    537.100    169.800
